FILE=\sensor1_sn3775_2019_10_17_17_31_11.csv
Thu Oct 17 17:31:05 2019

TimeStamp,Sample,Event,Motion,txl1,txl2,txl3,txl4,txl5,txl6,txl7,txl8,txl9,txl10,txl11,txl12,txl13,txl14,txl15,txl16,txl17,txl18,txl19,txl20,txl21,txl22,txl23,txl24,
17.31.21.046,93,0,0,1830,2046,1588,335,2046,2046,2046,323,2046,2046,2046,216,667,2046,2046,2046,547,2046,2046,481,291,2046,1954,322,
17.31.21.146,94,0,0,1826,2046,1561,337,2046,2046,2046,323,2046,2046,2046,216,661,2046,2046,2046,548,2046,2046,481,291,2046,1955,323,
17.31.21.246,95,0,0,1822,2046,1543,336,2046,2046,2046,325,2046,2046,2046,216,659,2046,2046,2046,553,2046,2046,485,294,2046,1958,324,
17.31.21.346,96,0,0,1822,2046,1537,336,2046,2046,2046,324,2046,2046,2046,216,658,2046,2046,2046,559,2046,2046,489,294,2046,1960,326,
17.31.21.446,97,0,0,1823,2046,1555,336,2046,2046,2046,324,2046,2046,2046,216,662,2046,2046,2046,576,2046,2046,497,297,2046,1962,326,
17.31.21.546,98,0,0,1829,2046,1561,335,2046,2046,2046,324,2046,2046,2046,218,667,2046,2046,2046,588,2046,2046,493,300,2046,1963,326,
17.31.21.647,99,0,0,1826,2046,1521,336,2046,2046,2046,326,2046,2046,2046,218,662,2046,2046,2046,582,2046,2046,489,300,2046,1965,328,
17.31.21.747,100,0,0,1820,2046,1481,336,2046,2046,2046,326,2046,2046,2046,218,656,2046,2046,2046,574,2046,2046,489,299,2046,1962,326,
17.31.21.847,101,0,0,1813,2046,1456,335,2046,2046,2046,327,2046,2046,2046,218,656,2046,2046,2046,574,2046,2046,489,299,2046,1962,326,
17.31.21.946,102,0,0,1804,2046,1412,335,2046,2046,2046,325,2046,2046,2046,216,651,2046,2046,2046,565,2046,2046,483,297,2046,1960,324,
17.31.22.046,103,0,0,1794,2046,1367,334,2046,2046,2046,323,2046,2046,2046,216,644,2046,2046,2046,555,2046,2046,474,297,2046,1961,324,
17.31.22.146,104,0,0,1784,2046,1347,333,2046,2046,2046,323,2046,2046,2046,216,638,2046,2046,2046,546,2046,2046,472,297,2046,1960,324,
17.31.22.246,105,0,0,1770,2046,1321,334,2046,2046,2046,322,2046,2046,2046,217,632,2045,2046,2046,540,2046,2046,473,296,2046,1961,324,
17.31.22.346,106,0,0,1751,2046,1292,334,2046,2046,2046,323,2046,2046,2046,218,626,2035,2046,2046,536,2046,2046,476,296,2046,1961,325,
17.31.22.446,107,0,0,1710,2046,1238,334,2046,2046,2046,325,2046,2046,2046,217,615,1994,2046,2046,515,2046,2046,475,293,2046,1961,325,
17.31.22.545,108,0,0,1682,2046,1212,334,2046,2046,2046,324,2046,2046,2046,216,604,1946,2046,2046,500,2046,2046,477,291,2046,1961,325,
17.31.22.645,109,0,0,1645,2046,1122,333,2046,2046,2046,322,2046,2046,2046,216,600,1913,2046,2046,496,2046,2046,481,291,2046,1960,327,
17.31.22.745,110,0,0,1609,2046,1004,329,2046,2046,2046,318,2046,2046,2046,214,594,1815,2046,2046,488,2046,2046,444,289,2046,1950,322,
17.31.22.845,111,0,0,1580,2046,923,326,2046,2046,2046,314,2046,2046,2046,214,589,1731,2046,2046,487,2046,2046,416,290,2046,1943,318,
17.31.22.946,112,0,0,1547,2046,867,324,2046,2046,2046,314,2046,2046,1998,215,587,1675,2046,2046,487,2046,2046,396,291,2046,1936,313,
17.31.23.047,113,0,0,1448,2046,796,322,2046,2046,2046,313,1997,2046,1998,215,581,1552,2046,2046,477,2046,2046,378,290,2046,1929,309,
17.31.23.146,114,0,0,1448,2046,796,322,2046,2046,2046,313,1997,2046,1517,214,569,1330,2046,1832,458,2046,2046,358,286,2046,1912,305,
17.31.23.246,115,0,0,1316,2046,734,320,2046,2046,1880,311,1647,2046,1126,212,561,1202,1973,1631,446,2046,2046,351,285,2046,1906,305,
17.31.23.345,116,0,0,1248,2046,710,318,2046,2046,1690,309,1501,2046,1010,212,553,1123,1835,1490,438,2046,2046,344,284,2046,1900,304,
17.31.23.445,117,0,0,1181,2023,688,317,2046,2046,1493,308,1328,2046,891,212,546,1029,1654,1343,428,2046,2046,336,282,2046,1890,303,
17.31.23.545,118,0,0,1100,1781,661,315,2046,2046,1232,307,1126,2046,750,212,538,906,1407,1176,417,2046,2046,330,282,2046,1872,303,
17.31.23.645,119,0,0,994,1459,631,315,1888,2046,941,305,853,2046,602,211,527,787,1162,1019,407,2046,2046,321,281,2046,1843,301,
17.31.23.744,120,0,0,886,1181,603,311,1620,2046,765,303,656,2046,516,211,519,684,945,884,397,2046,2046,316,282,2046,1792,299,
17.31.23.844,121,0,0,773,927,574,309,1314,2046,628,302,511,2046,451,212,508,593,757,772,386,2046,2046,309,279,2046,1685,299,
17.31.23.945,122,0,0,672,745,547,307,1010,2046,530,302,431,2046,408,212,496,529,640,700,377,1997,1969,305,280,2046,1515,298,
17.31.24.046,123,0,0,598,645,528,305,795,1947,472,302,389,2046,384,213,487,492,569,648,369,1559,1442,302,282,2046,1253,299,
17.31.24.145,124,0,0,536,578,511,303,649,1295,431,301,360,2046,361,213,487,492,569,648,369,1559,1442,302,282,2046,1253,299,
17.31.24.245,125,0,0,491,531,497,301,549,899,399,303,344,2030,347,214,477,460,513,598,362,1044,942,301,281,2046,920,297,
17.31.24.345,126,0,0,463,506,485,299,482,686,371,302,333,1389,335,216,471,437,479,563,354,718,617,296,282,1195,647,298,
17.31.24.444,127,0,0,441,486,474,297,438,571,353,301,323,859,328,218,466,418,455,536,346,555,482,294,282,724,488,297,
17.31.24.544,128,0,0,421,469,464,295,406,512,341,299,317,610,322,221,462,405,440,513,341,471,412,292,283,538,413,298,
17.31.24.644,129,0,0,409,462,458,294,385,483,337,300,314,515,322,224,455,395,430,499,337,423,379,290,283,475,378,296,
17.31.24.744,130,0,0,396,455,453,293,375,460,333,301,312,447,320,224,451,389,424,484,333,399,357,288,282,441,355,294,
17.31.24.843,131,0,0,389,454,449,292,362,442,329,301,311,397,318,223,445,383,416,473,329,378,333,286,281,413,334,295,
17.31.24.943,132,0,0,380,452,447,290,352,431,326,299,308,373,315,222,441,377,412,464,325,363,315,285,280,402,322,295,
17.31.25.045,133,0,0,373,451,443,289,345,419,323,299,308,348,315,223,437,372,409,459,323,354,306,285,282,395,315,295,
17.31.25.145,134,0,0,369,453,441,288,337,404,322,299,308,348,315,223,435,369,407,454,320,344,289,285,282,389,305,295,
17.31.25.244,135,0,0,369,453,441,288,337,404,322,298,308,318,314,224,430,364,400,447,318,331,273,284,281,385,288,296,
17.31.25.344,136,0,0,362,454,437,288,326,383,317,297,307,297,312,222,429,359,397,442,314,323,266,284,283,381,278,297,
17.31.25.444,137,0,0,356,451,432,287,318,371,314,297,306,293,312,224,424,354,390,439,311,313,264,284,281,379,274,296,
17.31.25.544,138,0,0,351,448,427,285,313,361,312,297,306,292,311,226,422,351,384,436,308,305,261,283,280,377,271,295,
17.31.25.644,139,0,0,348,445,424,286,311,354,311,297,308,290,311,226,418,348,380,432,304,298,258,283,282,377,271,296,
17.31.25.743,140,0,0,347,444,419,286,307,347,308,299,306,288,310,226,415,347,375,430,303,292,257,284,283,377,271,296,
